dur sec 14	1	2	3	total		dur seg 14	1a	1b	2a	2b	2c	3	total
Komsi+Oramo 1995	00:13	00:13	00:06	00:32		Komsi+Oramo 1995	00:06	00:18	00:08	00:06	00:05	00:04	00:54
Whittlesey+Sallaberger 1997	00:14	00:15	00:03	00:32		Whittlesey+Sallaberger 1997	00:07	00:20	00:09	00:06	00:04	00:04	00:58
Pammer+Kopatchinskaja 2004	00:13	00:16	00:04	00:33		Pammer+Kopatchinskaja 2004	00:07	00:19	00:08	00:05	00:04	00:04	00:58
Arnold+Pogossian 2004	00:15	00:16	00:05	00:37		Arnold+Pogossian 2004	00:07	00:21	00:09	00:06	00:05	00:05	01:02
Banse+Keller 2005	00:14	00:16	00:04	00:35		Banse+Keller 2005	00:07	00:22	00:09	00:06	00:06	00:05	01:03
Melzer+Stark 2012	00:13	00:16	00:05	00:34		Melzer+Stark 2012	00:07	00:21	00:09	00:06	00:05	00:05	01:02
Kammer+Widmann 2017	00:12	00:13	00:04	00:29		Kammer+Widmann 2017	00:07	00:20	00:08	00:06	00:05	00:04	00:59
mean 8	00:13	00:15	00:05	00:33		mean 8	00:05	00:08	00:05	00:07	00:02	00:05	00:33
min 8	00:12	00:13	00:03	00:29	KO95	min 8	00:04	00:07	00:04	00:06	00:01	00:03	00:29
max 8	00:15	00:16	00:06	00:37	CK90	max 8	00:06	00:10	00:06	00:09	00:03	00:06	00:37
rel stdv 8 (%)	7,64	10,64	21,77	7,30		rel stdv 8 (%)	10,86	10,00	12,92	15,44	21,15	00:22	00:07
perc sec 14	1	2	3			perc seg 14	1a	1b	2a	2b	2c	3	
Csengery+Keller 1987	36,43	48,78	14,78			Csengery+Keller 1987	14,96	21,47	17,64	26,98	4,17	14,78	
Csengery+Keller 1990	41,04	44,18	14,78			Csengery+Keller 1990	15,60	25,44	15,42	24,08	4,68	14,78	
Komsi+Oramo 1994	34,43	52,11	13,46			Komsi+Oramo 1994	13,96	20,47	16,52	27,08	8,51	13,46	
Komsi+Oramo 1995	41,26	39,29	19,45			Komsi+Oramo 1995	12,85	28,41	14,32	17,56	7,42	19,45	
Whittlesey+Sallaberger 1997	44,65	46,23	9,12			Whittlesey+Sallaberger 1997	16,99	27,65	16,00	22,68	7,56	9,12	
Pammer+Kopatchinskaja 2004	39,34	48,95	11,70			Pammer+Kopatchinskaja 2004	16,67	22,67	17,39	26,39	5,17	11,70	
Arnold+Pogossian 2004	41,66	43,68	14,65			Arnold+Pogossian 2004	15,67	26,00	15,29	21,18	7,22	14,65	
Banse+Keller 2005	40,65	46,66	12,68			Banse+Keller 2005	16,66	24,00	15,96	24,43	6,27	12,68	
Arnold+Pogossian 2006	41,32	44,19	14,49			Arnold+Pogossian 2006	13,52	27,79	15,32	23,56	5,31	14,49	
Melzer+Stark 2012	38,66	47,23	14,11			Melzer+Stark 2012	15,68	22,98	15,86	25,35	6,02	14,11	
Melzer+Stark 2013	36,86	47,23	15,92			Melzer+Stark 2013	14,83	22,02	15,83	27,27	4,13	15,92	
Kammer+Widmann 2017	41,79	43,54	14,67			Kammer+Widmann 2017	16,90	24,89	13,00	20,76	9,78	14,67	
Melzer+Stark 2017	34,43	52,11	13,46			Melzer+Stark 2017	13,96	20,47	16,52	27,08	8,51	13,46	
Melzer+Stark 2019	33,10	46,45	20,45			Melzer+Stark 2019	13,26	19,84	15,03	28,20	3,22	20,45	
score	39,68	48,41	11,90			mean 14	15,11	23,86	15,72	24,47	6,28	14,55	
mean 14	38,97	46,47	14,55			min 14	12,85	19,84	13,00	17,56	3,22	9,12	
min 14	33,10	39,29	9,12			max 14	16,99	28,41	17,64	28,20	9,78	20,45	
max 14	44,65	52,11	20,45			abs stdv 14	1,42	2,90	1,18	3,07	1,95	2,83	
abs stdv 14	3,42	3,45	2,83										
perc sec 8	1	2	3			perc seg 8	1a	1b	2a	2b	2c	3	
score	39,68	48,41	11,90										
Csengery+Keller 1990	41,04	44,18	14,78			Csengery+Keller 1990	15,60	25,44	15,42	24,08	4,68	14,78	
Komsi+Oramo 1995	41,26	39,29	19,45			Komsi+Oramo 1995	12,85	28,41	14,32	17,56	7,42	19,45	
Whittlesey+Sallaberger 1997	44,65	46,23	9,12			Whittlesey+Sallaberger 1997	16,99	27,65	16,00	22,68	7,56	9,12	
Pammer+Kopatchinskaja 2004	39,34	48,95	11,70			Pammer+Kopatchinskaja 2004	16,67	22,67	17,39	26,39	5,17	11,70	
Arnold+Pogossian 2004	41,66	43,68	14,65			Arnold+Pogossian 2004	15,67	26,00	15,29	21,18	7,22	14,65	
Banse+Keller 2005	40,65	46,66	12,68			Banse+Keller 2005	16,66	24,00	15,96	24,43	6,27	12,68	
Melzer+Stark 2012	38,66	47,23	14,11			Melzer+Stark 2012	15,68	22,98	15,86	25,35	6,02	14,11	
Kammer+Widmann 2017	41,79	43,54	14,67			Kammer+Widmann 2017	16,90	24,89	13,00	20,76	9,78	14,67	
mean 8	41,13	44,97	13,89			mean 8	15,88	25,25	15,40	22,80	6,77	13,89	
min 8	38,66	39,29	9,12			min 8	12,85	22,67	13,00	17,56	4,68	9,12	
max 8	44,65	48,95	19,45			max 8	16,99	28,41	17,39	26,39	9,78	19,45	
abs stdv 8	1,80	2,98	2,97			abs stdv 8	1,36	2,07	1,30	2,88	1,60	2,97	
