Komsi+Oramo 1994	21,63	22,61	55,76			Komsi+Oramo 1994	6,68	4,18	5,71	5,07	5,61	8,60	3,72	1,60	3,07	4,19	9,41	4,25	29,01	1,64	7,25		
Komsi+Oramo 1995	21,96	24,92	53,13			Komsi+Oramo 1995	5,68	5,22	5,09	5,97	5,91	8,94	4,28	2,25	3,53	8,05	8,02	3,99	26,17	0,71	6,20		
Whittlesey+Sallaberger 1997	19,41	23,06	57,53			Whittlesey+Sallaberger 1997	5,45	3,98	5,63	4,34	4,96	9,63	4,23	1,43	2,81	6,51	8,18	4,82	29,99	3,90	4,14		
Pammer+Kopatchinskaja 2004	20,07	21,76	58,17			Pammer+Kopatchinskaja 2004	4,23	7,56	4,76	3,52	4,60	9,82	3,82	1,53	1,99	6,49	6,80	4,67	30,91	5,80	3,51		
Arnold+Pogossian 2004	16,72	23,96	59,32			Arnold+Pogossian 2004	4,84	2,82	4,67	4,39	5,81	9,43	4,61	1,54	2,56	8,78	7,95	5,63	29,99	2,65	4,33		
Banse+Keller 2005	20,50	22,46	57,04			Banse+Keller 2005	4,49	6,83	5,14	4,04	5,12	8,91	4,32	1,43	2,67	6,15	8,72	3,66	28,98	4,17	5,35		
Arnold+Pogossian 2006	17,07	23,05	59,88			Arnold+Pogossian 2006	5,01	4,18	5,24	2,64	5,27	9,33	4,64	1,06	2,75	9,57	8,40	4,33	30,75	2,23	4,61		
Melzer+Stark 2012	16,02	23,33	60,65			Melzer+Stark 2012	5,31	3,06	4,57	3,08	5,53	9,41	5,08	1,03	2,29	5,40	10,12	3,47	30,21	6,42	5,02		
Melzer+Stark 2013	15,61	21,42	62,97			Melzer+Stark 2013	5,18	3,75	4,11	2,56	5,27	8,68	3,98	1,13	2,35	5,17	10,76	2,71	34,88	2,99	6,47		
Kammer+Widmann 2017	24,05	25,08	50,87			Kammer+Widmann 2017	5,42	8,61	5,54	4,48	5,23	10,34	5,19	1,37	2,95	5,84	7,31	3,31	26,84	3,19	4,39		
Melzer+Stark 2017	18,35	19,55	62,09			Melzer+Stark 2017	4,65	5,94	4,53	3,23	5,57	7,06	4,03	0,84	2,05	5,76	8,21	4,69	32,98	6,37	4,08		
Melzer+Stark 2019	12,41	21,08	66,50			Melzer+Stark 2019	6,28	0,58	4,52	1,04	4,95	9,03	4,07	1,14	1,90	4,97	9,31	3,26	37,08	8,24	3,65		
mean 14	18,58	22,68	58,74			mean 14	5,35	4,56	4,96	3,71	5,30	9,13	4,31	1,39	2,54	6,61	8,50	4,23	30,71	3,76	4,93		
min 14	12,41	19,55	50,87			min 14	4,23	0,58	4,11	1,04	4,49	7,06	3,72	0,84	1,90	4,19	6,80	2,71	26,17	0,71	3,51		
max 14	24,05	25,08	66,50			max 14	6,68	8,61	5,71	5,97	5,91	10,34	5,19	2,25	3,53	9,57	10,76	5,63	37,08	8,24	7,25		
abs stdv 14	3,05	1,67	3,95			abs stdv 14	0,72	2,13	0,51	1,22	0,45	0,83	0,43	0,35	0,47	1,64	1,08	0,87	2,86	2,18	1,13		
perc sec 8	1	2	3			perc seg 8	1a	1b	1c	1d	2a	2b	2c	2d	2e	3a	3b	3c	3d	3e	3f		
score	23,16	23,16	53,68																				
Csengery+Keller 1990	19,66	20,55	59,78			Csengery+Keller 1990	6,35	4,55	5,48	3,27	4,49	8,43	4,11	1,42	2,11	9,05	8,01	5,41	31,03	2,07	4,22		
Komsi+Oramo 1995	21,96	24,92	53,13			Komsi+Oramo 1995	5,68	5,22	5,09	5,97	5,91	8,94	4,28	2,25	3,53	8,05	8,02	3,99	26,17	0,71	6,20		
Whittlesey+Sallaberger 1997	19,41	23,06	57,53			Whittlesey+Sallaberger 1997	5,45	3,98	5,63	4,34	4,96	9,63	4,23	1,43	2,81	6,51	8,18	4,82	29,99	3,90	4,14		
Pammer+Kopatchinskaja 2004	20,07	21,76	58,17			Pammer+Kopatchinskaja 2004	4,23	7,56	4,76	3,52	4,60	9,82	3,82	1,53	1,99	6,49	6,80	4,67	30,91	5,80	3,51		
Arnold+Pogossian 2004	16,72	23,96	59,32			Arnold+Pogossian 2004	4,84	2,82	4,67	4,39	5,81	9,43	4,61	1,54	2,56	8,78	7,95	5,63	29,99	2,65	4,33		
Banse+Keller 2005	20,50	22,46	57,04			Banse+Keller 2005	4,49	6,83	5,14	4,04	5,12	8,91	4,32	1,43	2,67	6,15	8,72	3,66	28,98	4,17	5,35		
Melzer+Stark 2012	16,02	23,33	60,65			Melzer+Stark 2012	5,31	3,06	4,57	3,08	5,53	9,41	5,08	1,03	2,29	5,40	10,12	3,47	30,21	6,42	5,02		
Kammer+Widmann 2017	24,05	25,08	50,87			Kammer+Widmann 2017	5,42	8,61	5,54	4,48	5,23	10,34	5,19	1,37	2,95	5,84	7,31	3,31	26,84	3,19	4,39		
mean 8	19,80	23,14	57,06			mean 8	5,22	5,33	5,11	4,14	5,21	9,36	4,46	1,50	2,61	7,03	8,14	4,37	29,26	3,61	4,64		
min 8	16,02	20,55	50,87			min 8	4,23	2,82	4,57	3,08	4,49	8,43	3,82	1,03	1,99	5,40	6,80	3,31	26,17	0,71	3,51		
max 8	24,05	25,08	60,65			max 8	6,35	8,61	5,63	5,97	5,91	10,34	5,19	2,25	3,53	9,05	10,12	5,63	31,03	6,42	6,20		
abs stdv 8 	2,60	1,54	3,39			abs stdv 8	0,68	2,13	0,41	0,91	0,52	0,60	0,47	0,34	0,50	1,39	0,99	0,89	1,83	1,89	0,84		
