Komsi+Oramo 1995	00:22	00:10	00:11	00:20	00:17	00:10	01:31		Komsi+Oramo 1995	00:22	00:02	00:02	00:06	00:11	00:02	00:07	00:11	00:09	00:04	00:05	00:10	01:31	
Whittlesey+Sallaberger 1997	00:27	00:15	00:15	00:26	00:21	00:17	02:02		Whittlesey+Sallaberger 1997	00:27	00:03	00:03	00:09	00:15	00:03	00:10	00:13	00:10	00:05	00:06	00:17	02:02	
Pammer+Kopatchinskaja 2004	00:27	00:14	00:11	00:25	00:19	00:17	01:53		Pammer+Kopatchinskaja 2004	00:27	00:03	00:03	00:08	00:11	00:03	00:12	00:10	00:09	00:04	00:06	00:17	01:53	
Arnold+Pogossian 2004	00:25	00:12	00:15	00:27	00:19	00:15	01:53		Arnold+Pogossian 2004	00:25	00:03	00:02	00:07	00:15	00:03	00:10	00:13	00:09	00:05	00:05	00:15	01:53	
Banse+Keller 2005	00:25	00:15	00:14	00:30	00:22	00:17	02:03		Banse+Keller 2005	00:25	00:03	00:03	00:09	00:14	00:03	00:14	00:13	00:09	00:06	00:08	00:17	02:03	
Melzer+Stark 2012	00:21	00:14	00:12	00:38	00:25	00:20	02:10		Melzer+Stark 2012	00:21	00:03	00:03	00:08	00:12	00:03	00:17	00:18	00:12	00:07	00:07	00:20	02:10	
Kammer+Widmann 2017	00:24	00:13	00:12	00:21	00:16	00:11	01:37		Kammer+Widmann 2017	00:24	00:03	00:02	00:07	00:12	00:02	00:10	00:09	00:08	00:04	00:05	00:11	01:37	
mean 8	00:24	00:13	00:13	00:26	00:20	00:16	01:52		mean 8	00:24	00:03	00:03	00:08	00:13	00:03	00:12	00:12	00:09	00:05	00:06	00:16	01:52	
min 8	00:21	00:10	00:11	00:20	00:16	00:10	01:31	KO 1995	min 8	00:21	00:02	00:02	00:06	00:11	00:02	00:07	00:09	00:07	00:04	00:05	00:10	01:31	KO 1995
max 8	00:27	00:15	00:15	00:38	00:25	00:20	02:10	MS 2012	max 8	00:27	00:03	00:03	00:09	00:15	00:03	00:17	00:18	00:12	00:07	00:08	00:20	02:10	MS 2012
rel stdv 8 (%)	10,36	12,40	14,32	20,75	15,38	21,59	11,95		rel stdv (%) 8	10,36	14,91	11,10	13,07	14,32	21,24	24,32	21,85	16,59	18,85	17,29	21,59	11,95	
perc sec 14	1	2	3	4	5	6			perc seg 14	1	2a	2b	2c	3	4a	4b	4c	5a	5b	5c	6		
Csengery+Keller 1987	17,95	12,65	12,56	25,09	17,20	14,54			Csengery+Keller 1987	17,95	2,52	2,47	7,67	12,56	2,14	10,47	12,48	7,89	4,20	5,11	14,54		
Csengery+Keller 1990	19,31	12,22	13,93	23,12	16,29	15,13			Csengery+Keller 1990	19,31	2,57	2,60	7,04	13,93	2,05	10,19	10,87	6,72	4,01	5,56	15,13		
Komsi+Oramo 1994	25,51	10,86	9,87	23,35	18,16	12,24			Komsi+Oramo 1994	25,51	2,33	2,16	6,37	9,87	3,02	8,59	11,74	8,19	4,77	5,20	12,24		
Komsi+Oramo 1995	24,48	11,55	11,61	22,05	19,17	11,14			Komsi+Oramo 1995	24,48	2,10	2,64	6,81	11,61	2,23	8,12	11,70	9,41	4,47	5,29	11,14		
Whittlesey+Sallaberger 1997	22,49	12,74	12,08	21,33	17,13	14,24			Whittlesey+Sallaberger 1997	22,49	2,64	2,56	7,54	12,08	2,35	8,63	10,35	7,84	3,96	5,34	14,24		
Pammer+Kopatchinskaja 2004	24,02	12,48	9,51	22,06	16,63	15,30			Pammer+Kopatchinskaja 2004	24,02	2,73	2,37	7,37	9,51	2,43	10,98	8,65	7,73	3,97	4,93	15,30		
Arnold+Pogossian 2004	21,92	10,76	13,02	24,01	16,98	13,32			Arnold+Pogossian 2004	21,92	2,23	2,12	6,40	13,02	2,90	9,25	11,86	8,03	4,17	4,77	13,32		
Banse+Keller 2005	20,15	12,27	11,50	24,29	17,69	14,09			Banse+Keller 2005	20,15	2,40	2,47	7,40	11,50	2,27	11,31	10,71	7,00	4,51	6,18	14,09		
Arnold+Pogossian 2006	21,67	11,69	11,70	23,11	17,84	13,98			Arnold+Pogossian 2006	21,67	2,38	2,44	6,87	11,70	2,52	8,34	12,25	8,89	4,37	4,58	13,98		
Melzer+Stark 2012	16,34	10,89	9,11	28,82	19,57	15,27			Melzer+Stark 2012	16,34	2,16	2,21	6,52	9,11	2,32	12,77	13,73	9,32	5,02	5,22	15,27		
Melzer+Stark 2013	15,36	10,59	8,36	30,14	20,52	15,04			Melzer+Stark 2013	15,36	2,19	2,10	6,30	8,36	2,76	12,49	14,88	9,32	5,43	5,77	15,04		
Kammer+Widmann 2017	24,69	13,06	12,51	21,78	16,53	11,42			Kammer+Widmann 2017	24,69	3,05	2,43	7,57	12,51	1,72	10,30	9,75	7,90	3,84	4,79	11,42		
Melzer+Stark 2017	16,28	10,99	8,03	31,07	19,24	14,40			Melzer+Stark 2017	16,28	2,21	2,09	6,69	8,03	2,71	13,06	15,30	8,80	4,98	5,46	14,40		
Melzer+Stark 2019	15,55	11,02	8,13	30,51	20,09	14,69			Melzer+Stark 2019	15,55	2,25	2,29	6,48	8,13	2,15	12,83	15,53	9,08	5,11	5,90	14,69		
mean 14	20,41	11,70	10,85	25,05	18,07	13,91			mean 14	20,41	2,41	2,35	6,93	10,85	2,40	10,52	12,13	8,29	4,49	5,29	13,91		
min 14	15,36	10,59	8,03	21,33	16,29	11,14			min 14	15,36	2,10	2,09	6,30	8,03	1,72	8,12	8,65	6,72	3,84	4,58	11,14		
max 14	25,51	13,06	13,93	31,07	20,52	15,30			max 14	25,51	3,05	2,64	7,67	13,93	3,02	13,06	15,53	9,41	5,43	6,18	15,30		
abs stdv 14	3,64	0,86	1,97	3,52	1,40	1,38			abs stdv 14	3,64	0,27	0,19	0,50	1,97	0,36	1,78	2,09	0,86	0,50	0,46	1,38		
perc sec 8	1	2	3	4	5	6			perc seg 8	1	2a	2b	2c	3	4a	4b	4c	5a	5b	5c	6		
Csengery+Keller 1990	19,31	12,22	13,93	23,12	16,29	15,13			Csengery+Keller 1990	19,31	2,57	2,60	7,04	13,93	2,05	10,19	10,87	6,72	4,01	5,56	15,13		
Komsi+Oramo 1995	24,48	11,55	11,61	22,05	19,17	11,14			Komsi+Oramo 1995	24,48	2,10	2,64	6,81	11,61	2,23	8,12	11,70	9,41	4,47	5,29	11,14		
Whittlesey+Sallaberger 1997	22,49	12,74	12,08	21,33	17,13	14,24			Whittlesey+Sallaberger 1997	22,49	2,64	2,56	7,54	12,08	2,35	8,63	10,35	7,84	3,96	5,34	14,24		
Pammer+Kopatchinskaja 2004	24,02	12,48	9,51	22,06	16,63	15,30			Pammer+Kopatchinskaja 2004	24,02	2,73	2,37	7,37	9,51	2,43	10,98	8,65	7,73	3,97	4,93	15,30		
Arnold+Pogossian 2004	21,92	10,76	13,02	24,01	16,98	13,32			Arnold+Pogossian 2004	21,92	2,23	2,12	6,40	13,02	2,90	9,25	11,86	8,03	4,17	4,77	13,32		
Banse+Keller 2005	20,15	12,27	11,50	24,29	17,69	14,09			Banse+Keller 2005	20,15	2,40	2,47	7,40	11,50	2,27	11,31	10,71	7,00	4,51	6,18	14,09		
Melzer+Stark 2012	16,34	10,89	9,11	28,82	19,57	15,27			Melzer+Stark 2012	16,34	2,16	2,21	6,52	9,11	2,32	12,77	13,73	9,32	5,02	5,22	15,27		
Kammer+Widmann 2017	24,69	13,06	12,51	21,78	16,53	11,42			Kammer+Widmann 2017	24,69	3,05	2,43	7,57	12,51	1,72	10,30	9,75	7,90	3,84	4,79	11,42		
mean 8	21,68	12,00	11,66	23,43	17,50	13,74			mean 8	21,68	2,49	2,43	7,08	11,66	2,29	10,19	10,95	7,99	4,24	5,26	13,74		
min 8	16,34	10,76	9,11	21,33	16,29	11,14			min 8	16,34	2,10	2,12	6,40	9,11	1,72	8,12	8,65	6,72	3,84	4,77	11,14		
max 8	24,69	13,06	13,93	28,82	19,57	15,30			max 8	24,69	3,05	2,64	7,57	13,93	2,90	12,77	13,73	9,41	5,02	6,18	15,30		
abs stdv 8	2,92	0,85	1,65	2,43	1,23	1,66			abs stdv 8	2,92	0,33	0,18	0,46	1,65	0,33	1,52	1,53	0,96	0,40	0,46	1,66		
