dur sec 14	1	2	total		dur seg 14	1a	1b	1c	1d	2a	2b	2c	total	
min 14	00:10	00:09	00:21	MS 2012	min 14	00:02	00:03	00:01	00:03	00:03	00:03	00:02	00:21	MS 2012
max 14	00:14	00:15	00:27	AP 2004	max 14	00:04	00:05	00:02	00:05	00:06	00:06	00:05	00:27	AP 2004
rel stdv (%) 14	10,34	16,67	9,98		rel stdv (%) 14	17,33	17,95	20,96	13,37	17,19	16,27	28,93	9,98	
dur sec 8	1	2	total		dur seg 8	1a	1b	1c	1d	2a	2b	2c	total	
Csengery+Keller 1990	00:13	00:09	00:21		Csengery+Keller 1990	00:03	00:04	00:01	00:04	00:03	00:03	00:02	00:21	
Komsi+Oramo 1995	00:10	00:11	00:21		Komsi+Oramo 1995	00:02	00:04	00:01	00:03	00:04	00:04	00:04	00:21	
Whittlesey+Sallaberger 1997	00:12	00:10	00:22		Whittlesey+Sallaberger 1997	00:04	00:04	00:01	00:04	00:04	00:04	00:02	00:22	
Pammer+Kopatchinskaja 2004	00:14	00:12	00:27		Pammer+Kopatchinskaja 2004	00:03	00:05	00:02	00:05	00:05	00:05	00:02	00:27	
Arnold+Pogossian 2004	00:12	00:14	00:27		Arnold+Pogossian 2004	00:03	00:04	00:02	00:03	00:05	00:06	00:03	00:27	
Banse+Keller 2005	00:12	00:10	00:22		Banse+Keller 2005	00:04	00:04	00:01	00:03	00:04	00:04	00:02	00:22	
Melzer+Stark 2012	00:10	00:10	00:21		Melzer+Stark 2012	00:03	00:03	00:02	00:03	00:04	00:04	00:02	00:21	
Kammer+Widmann 2017	00:12	00:11	00:24		Kammer+Widmann 2017	00:04	00:03	00:02	00:04	00:04	00:05	00:03	00:24	
mean 8	00:12	00:11	00:23		mean 8	00:03	00:04	00:02	00:04	00:04	00:04	00:03	00:23	
min 8	00:10	00:09	00:21	MS 2012	min 8	00:02	00:03	00:01	00:03	00:03	00:03	00:02	00:21	MS 2012
max 8	00:14	00:14	00:27	AP 2004	max 8	00:04	00:05	00:02	00:05	00:05	00:06	00:04	00:27	AP 2004
rel stdv (%) 8 	12,06	16,03	10,79		rel stdv (%) 8	20,01	17,83	17,11	15,63	18,05	16,37	24,82	10,79	
perc sec 14	1	2			perc seg 14	1a	1b	1c	1d	2a	2b	2c		
score	54,69	45,31												
Csengery+Keller 1987	57,08	42,92			Csengery+Keller 1987	13,0	20,7	6,1	17,3	16,7	16,5	9,7		
Csengery+Keller 1990	59,52	40,48			Csengery+Keller 1990	13,7	20,0	6,6	19,2	15,1	16,3	9,0		
Komsi+Oramo 1994	42,80	57,20			Komsi+Oramo 1994	8,9	13,1	9,3	11,5	22,4	17,9	17,0		
Komsi+Oramo 1995	45,86	54,14			Komsi+Oramo 1995	8,9	16,9	6,6	13,5	19,1	18,2	16,8		
Whittlesey+Sallaberger 1997	54,00	46,00			Whittlesey+Sallaberger 1997	15,9	16,9	5,3	15,9	18,7	18,3	9,0		
Pammer+Kopatchinskaja 2004	53,41	46,59			Pammer+Kopatchinskaja 2004	11,6	18,3	6,4	17,2	20,3	17,2	9,1		
Arnold+Pogossian 2004	46,28	53,72			Arnold+Pogossian 2004	11,7	15,9	6,3	12,4	19,9	21,3	12,5		
Banse+Keller 2005	55,25	44,75			Banse+Keller 2005	17,4	16,9	6,6	14,3	16,2	19,3	9,3		
Arnold+Pogossian 2006	51,89	48,11			Arnold+Pogossian 2006	13,1	14,7	8,1	16,0	18,9	20,7	8,5		
Melzer+Stark 2012	49,68	50,32			Melzer+Stark 2012	13,0	13,1	7,8	15,7	21,3	18,2	10,8		
Melzer+Stark 2013	48,70	51,30			Melzer+Stark 2013	12,0	13,6	7,0	16,1	20,8	17,8	12,7		
Kammer+Widmann 2017	52,42	47,58			Kammer+Widmann 2017	15,0	13,6	8,7	15,1	17,6	19,2	10,8		
Melzer+Stark 2017	53,81	46,19			Melzer+Stark 2017	15,0	13,0	7,2	18,5	19,1	16,9	10,2		
Melzer+Stark 2019	54,11	45,89			Melzer+Stark 2019	13,2	15,4	7,9	17,5	19,8	16,1	10,0		
mean 14	51,8	48,2			mean 14	13,03	15,87	7,14	15,74	19,00	18,13	11,10		
min 14	42,8	40,5			min 14	8,87	13,02	5,29	11,53	15,13	16,07	8,53		
max 14	59,5	57,2			max 14	17,38	20,68	9,29	19,21	22,36	21,31	16,97		
abs stdv 14	4,62	4,62			abs stdv 14	2,40	2,55	1,10	2,23	2,03	1,57	2,75		
perc sec 8	1	2			perc seg 8	1a	1b	1c	1d	2a	2b	2c		
score	54,69	45,31												
Csengery+Keller 1990	59,52	40,48			Csengery+Keller 1990	13,7	20,0	6,6	19,2	15,1	16,3	9,0		
Komsi+Oramo 1995	45,86	54,14			Komsi+Oramo 1995	8,9	16,9	6,6	13,5	19,1	18,2	16,8		
Whittlesey+Sallaberger 1997	54,00	46,00			Whittlesey+Sallaberger 1997	15,9	16,9	5,3	15,9	18,7	18,3	9,0		
Pammer+Kopatchinskaja 2004	53,41	46,59			Pammer+Kopatchinskaja 2004	11,6	18,3	6,4	17,2	20,3	17,2	9,1		
Arnold+Pogossian 2004	46,28	53,72			Arnold+Pogossian 2004	11,7	15,9	6,3	12,4	19,9	21,3	12,5		
Banse+Keller 2005	55,25	44,75			Banse+Keller 2005	17,4	16,9	6,6	14,3	16,2	19,3	9,3		
Melzer+Stark 2012	49,68	50,32			Melzer+Stark 2012	13,0	13,1	7,8	15,7	21,3	18,2	10,8		
Kammer+Widmann 2017	52,42	47,58			Kammer+Widmann 2017	15,0	13,6	8,7	15,1	17,6	19,2	10,8		
mean 8	52,1	47,9			mean 8	13,39	16,45	6,80	15,41	18,54	18,50	10,91		
min 8	45,9	40,5			min 8	8,89	13,09	5,29	12,40	15,13	16,34	8,97		
max 8	59,5	54,1			max 8	17,38	19,99	8,69	19,21	21,34	21,31	16,83		
abs stdv 8 	4,61	4,61			abs stdv 8	2,71	2,27	1,03	2,14	2,12	1,50	2,69		
