dur sec 14	1	2	total		dur seg 14	1a	1b	1c	1d	2a	2b	total	
Arnold+Pogossian 2004	58,51	41,49			Arnold+Pogossian 2004	13,98	2,33	32,04	10,16	17,28	24,22		
Banse+Keller 2005	58,47	41,53			Banse+Keller 2005	14,22	2,05	33,01	9,19	20,55	20,97		
Arnold+Pogossian 2006	61,00	39,00			Arnold+Pogossian 2006	15,84	1,90	32,86	10,40	18,37	20,63		
Melzer+Stark 2012	58,18	41,82			Melzer+Stark 2012	15,36	2,46	30,55	9,81	20,12	21,69		
Melzer+Stark 2013	55,91	44,09			Melzer+Stark 2013	14,55	1,74	29,04	10,58	19,84	24,25		
Kammer+Widmann 2017	64,16	35,84			Kammer+Widmann 2017	17,33	2,15	35,41	9,27	18,54	17,30		
Melzer+Stark 2017	62,34	37,66			Melzer+Stark 2017	16,57	2,52	30,55	12,71	16,80	20,85		
Melzer+Stark 2019	58,59	41,41			Melzer+Stark 2019	16,61	1,87	29,16	10,95	19,28	22,13		
mean 14	60,56	39,44			mean 14	15,88	2,43	32,49	9,77	18,75	20,69		
min 14	55,91	34,09			min 14	13,98	1,47	29,04	7,00	16,80	17,13		
max 14	65,91	44,09			max 14	17,33	3,65	35,94	12,71	20,55	24,25		
abs stdv 14	2,74	2,74			rel stdv (%) 14	7,56	26,80	6,47	15,62	6,25	10,76		
perc sec 8	1,00	2,00			perc seg 8	1a	1b	1c	1d	2a	2b		
Csengery+Keller 1990	61,74	38,26			Csengery+Keller 1990	16,88	1,47	34,56	8,84	18,03	20,23		
Komsi+Oramo 1995	61,57	38,43			Komsi+Oramo 1995	16,92	3,65	33,29	7,71	19,61	18,81		
Whittlesey+Sallaberger 1997	62,45	37,55			Whittlesey+Sallaberger 1997	15,64	2,36	32,76	11,70	18,51	19,04		
Pammer+Kopatchinskaja 2004	65,91	34,09			Pammer+Kopatchinskaja 2004	16,86	3,10	35,94	10,01	16,96	17,13		
Arnold+Pogossian 2004	58,51	41,49			Arnold+Pogossian 2004	13,98	2,33	32,04	10,16	17,28	24,22		
Banse+Keller 2005	58,47	41,53			Banse+Keller 2005	14,22	2,05	33,01	9,19	20,55	20,97		
Melzer+Stark 2012	58,18	41,82			Melzer+Stark 2012	15,36	2,46	30,55	9,81	20,12	21,69		
Kammer+Widmann 2017	64,16	35,84			Kammer+Widmann 2017	17,33	2,15	35,41	9,27	18,54	17,30		
mean 8	61,38	38,62			mean 8	15,90	2,45	33,45	9,59	18,70	19,92		
min 8	58,18	34,09			min 8	13,98	1,47	30,55	7,71	16,96	17,13		
max 8	65,91	41,82			max 8	17,33	3,65	35,94	11,70	20,55	24,22		
abs stdv 8	2,84	2,84			rel stdv (%) 8	8,17	27,23	5,34	12,07	6,96	11,91		
