dur sec 14	1	2	3	4	5	total		dur seg 14	1	2a	2b	3a	3b	4	5	total	
Melzer+Stark 2012	12,80	32,60	30,90	17,69	6,02			Melzer+Stark 2012	12,80	16,39	16,21	16,62	14,28	17,69	6,02		
Melzer+Stark 2013	13,89	33,02	29,64	17,28	6,17			Melzer+Stark 2013	13,89	17,09	15,93	15,53	14,12	17,28	6,17		
Kammer+Widmann 2017	16,97	33,35	24,12	20,86	4,69			Kammer+Widmann 2017	16,97	18,54	14,81	13,77	10,35	20,86	4,69		
Melzer+Stark 2017	12,10	29,12	33,31	19,80	5,68			Melzer+Stark 2017	12,10	10,73	18,39	19,29	14,01	19,80	5,68		
Melzer+Stark 2019	14,81	32,76	26,93	20,28	5,22			Melzer+Stark 2019	14,81	16,43	16,32	14,71	12,22	20,28	5,22		
mean 14	14,04	31,18	29,32	19,55	5,89			mean 14	14,04	15,76	15,42	16,13	13,20	19,55	5,89		
min 14	12,10	29,11	24,12	17,28	4,69			min 14	12,10	10,73	14,10	13,77	10,35	17,28	4,69		
max 14	16,97	33,35	33,31	22,14	6,67			max 14	16,97	18,54	18,39	19,29	14,76	22,14	6,67		
abs stdv 14	1,41	1,49	2,13	1,34	0,56			abs stdv 14	1,41	1,78	1,13	1,25	1,13	1,34	0,56		
perc sec 8	1	2	3	4	5			perc seg 18	1	2a	2b	3a	3b	4	5		
Csengery+Keller 1990	12,42	30,46	30,88	19,56	6,67			Csengery+Keller 1990	12,42	15,76	14,70	17,22	13,66	19,56	6,67		
Komsi+Oramo 1995	15,41	30,32	28,80	19,32	6,15			Komsi+Oramo 1995	15,41	15,28	15,04	15,82	12,98	19,32	6,15		
Whittlesey+Sallaberger 1997	16,22	29,11	29,38	19,35	5,93			Whittlesey+Sallaberger 1997	16,22	14,77	14,34	16,82	12,56	19,35	5,93		
Pammer+Kopatchinskaja 2004	13,26	31,26	29,32	20,97	5,19			Pammer+Kopatchinskaja 2004	13,26	17,16	14,10	15,95	13,37	20,97	5,19		
Arnold+Pogossian 2004	14,05	29,70	29,13	20,49	6,62			Arnold+Pogossian 2004	14,05	15,35	14,35	15,89	13,24	20,49	6,62		
Banse+Keller 2005	14,46	32,83	28,48	18,14	6,10			Banse+Keller 2005	14,46	16,66	16,17	15,70	12,78	18,14	6,10		
Melzer+Stark 2012	12,80	32,60	30,90	17,69	6,02			Melzer+Stark 2012	12,80	16,39	16,21	16,62	14,28	17,69	6,02		
Kammer+Widmann 2017	16,97	33,35	24,12	20,86	4,69			Kammer+Widmann 2017	16,97	18,54	14,81	13,77	10,35	20,86	4,69		
mean 8	14,45	31,20	28,88	19,55	5,92			mean 8	14,45	16,24	14,97	15,98	12,90	19,55	5,92		
min 8	12,42	29,11	24,12	17,69	4,69			min 8	12,42	14,77	14,10	13,77	10,35	17,69	4,69		
max 8	16,97	33,35	30,90	20,97	6,67			max 8	16,97	18,54	16,21	17,22	14,28	20,97	6,67		
abs stdv 8	1,64	1,57	2,12	1,21	0,68			abs stdv 8	1,64	1,22	0,81	1,05	1,16	1,21	0,68		
