Arnold+Pogossian 2006	34,10	37,64	28,26			Arnold+Pogossian 2006	5,56	9,37	19,17	6,16	9,19	11,30	10,97	8,41	6,65	13,21		
Melzer+Stark 2012	35,76	35,34	28,90			Melzer+Stark 2012	4,63	9,80	21,33	8,01	8,62	12,32	6,39	8,36	7,73	12,81		
Melzer+Stark 2013	32,40	33,58	34,03			Melzer+Stark 2013	4,63	9,03	18,75	4,07	12,36	11,51	5,64	9,04	8,43	16,55		
Kammer+Widmann 2017	35,45	34,94	29,60			Kammer+Widmann 2017	4,21	9,05	22,19	5,64	9,03	11,83	8,44	5,91	5,15	18,54		
Melzer+Stark 2017	29,85	36,18	33,98			Melzer+Stark 2017	5,17	7,38	17,30	7,14	10,95	10,55	7,53	7,10	8,22	18,65		
Melzer+Stark 2019	30,66	35,60	33,74			Melzer+Stark 2019	5,26	7,43	17,96	4,61	12,54	12,20	6,26	7,64	7,37	18,74		
mean 14	32,62	35,61	31,77			mean 14	5,20	8,99	18,29	5,83	9,54	10,97	9,56	8,66	6,76	16,18		
min 14	29,73	30,78	26,69			min 14	4,21	7,23	13,69	4,07	7,57	7,38	5,64	5,91	5,15	8,78		
max 14	35,76	39,48	37,26			max 14	7,25	13,69	22,19	8,20	12,54	12,77	13,87	12,00	8,43	23,79		
abs stdv 14	2,18	2,32	3,04			abs stdv 14	0,75	1,78	2,43	1,33	1,51	1,49	2,57	1,56	1,18	3,59		
perc sec 8	1	2	3			perc seg 8	1a	1b	1c	2a	2b	2c	2d	3a	3b	3c		
score	39,47	34,21	26,32															
Csengery+Keller 1990	31,87	36,92	31,21			Csengery+Keller 1990	4,23	7,62	20,02	4,52	8,30	12,77	11,32	10,07	5,19	15,94		
Komsi+Oramo 1995	34,41	30,78	34,81			Komsi+Oramo 1995	4,76	13,69	15,96	5,32	8,57	8,64	8,26	8,53	8,35	17,93		
Whittlesey+Sallaberger 1997	35,76	37,55	26,69			Whittlesey+Sallaberger 1997	7,25	7,23	21,29	7,46	7,57	10,08	12,43	12,00	5,91	8,78		
Pammer+Kopatchinskaja 2004	32,71	33,37	33,93			Pammer+Kopatchinskaja 2004	5,56	11,01	16,14	5,31	9,13	9,90	9,03	8,30	6,63	18,99		
Arnold+Pogossian 2004	32,01	36,42	31,58			Arnold+Pogossian 2004	5,21	7,95	18,85	5,17	8,13	11,54	11,57	8,84	7,23	15,50		
Banse+Keller 2005	29,94	37,81	32,25			Banse+Keller 2005	5,49	8,66	15,79	5,89	10,19	10,66	11,07	10,94	7,37	13,95		
Melzer+Stark 2012	35,76	35,34	28,90			Melzer+Stark 2012	4,63	9,80	21,33	8,01	8,62	12,32	6,39	8,36	7,73	12,81		
Kammer+Widmann 2017	35,45	34,94	29,60			Kammer+Widmann 2017	4,21	9,05	22,19	5,64	9,03	11,83	8,44	5,91	5,15	18,54		
mean 8	33,49	35,39	31,12			mean 8	5,17	9,38	18,94	5,92	8,69	10,97	9,81	9,12	6,70	15,31		
min 8	29,94	30,78	26,69			min 8	4,21	7,23	15,79	4,52	7,57	8,64	6,39	5,91	5,15	8,78		
max 8	35,76	37,81	34,81			max 8	7,25	13,69	22,19	8,01	10,19	12,77	12,43	12,00	8,35	18,99		
abs stdv 8 	2,17	2,37	2,67			abs stdv 8	0,99	2,13	2,66	1,20	0,78	1,39	2,09	1,87	1,19	3,42		
