dur sec 14	1	2	3	total		dur seg 14	1a	1b	1c	2a	2b	2c	2d	3	total	
dur sec 8	1	2	3	total		dur seg 8	1a	1b	1c	2a	2b	2c	2d	3	total	
Csengery+Keller 1990	00:12	00:23	00:07	00:42		Csengery+Keller 1990	00:07	00:02	00:03	00:07	00:02	00:06	00:08	00:07	00:42	
Komsi+Oramo 1995	00:07	00:14	00:05	00:26		Komsi+Oramo 1995	00:04	00:01	00:02	00:04	00:01	00:04	00:06	00:05	00:26	
Whittlesey+Sallaberger 1997	00:09	00:20	00:07	00:37		Whittlesey+Sallaberger 1997	00:05	00:01	00:03	00:06	00:01	00:05	00:08	00:07	00:37	
Pammer+Kopatchinskaja 2004	00:12	00:22	00:06	00:40		Pammer+Kopatchinskaja 2004	00:06	00:02	00:03	00:07	00:02	00:05	00:08	00:06	00:40	
Arnold+Pogossian 2004	00:09	00:18	00:06	00:33		Arnold+Pogossian 2004	00:05	00:01	00:03	00:06	00:01	00:04	00:07	00:06	00:33	
Banse+Keller 2005	00:10	00:24	00:07	00:41		Banse+Keller 2005	00:06	00:01	00:03	00:07	00:02	00:06	00:09	00:07	00:41	
Melzer+Stark 2012	00:09	00:18	00:06	00:34		Melzer+Stark 2012	00:05	00:01	00:03	00:06	00:01	00:04	00:06	00:06	00:34	
Kammer+Widmann 2017	00:11	00:19	00:07	00:36		Kammer+Widmann 2017	00:06	00:01	00:04	00:06	00:01	00:04	00:07	00:07	00:36	
mean 8	00:10	00:20	00:06	00:36		mean 8	00:05	00:01	00:03	00:06	00:01	00:05	00:07	00:06	00:36	
min 8	00:07	00:14	00:05	00:26	KO 1995	min 8	00:04	00:01	00:02	00:04	00:01	00:04	00:06	00:05	00:26	KO 1995
max 8	00:12	00:24	00:07	00:42	CK 1990	max 8	00:07	00:02	00:04	00:07	00:02	00:06	00:09	00:07	00:42	CK 1990
rel stdv (%) 8 	16,80	15,42	14,31	14,23		rel stdv (%) 8	16,76	33,58	17,22	15,84	18,14	18,03	14,05	14,31	14,23	
perc sec 14	1	2	3			perc seg 14	1a	1b	1c	2a	2b	2c	2d	3		
Csengery+Keller 1987	26,70	55,55	17,76			Csengery+Keller 1987	15,77	3,39	7,54	16,31	3,78	13,46	22,00	17,76		
Csengery+Keller 1990	29,53	54,24	16,23			Csengery+Keller 1990	15,99	5,70	7,83	17,74	4,02	13,44	19,03	16,23		
Komsi+Oramo 1994	27,21	56,01	16,78			Komsi+Oramo 1994	16,85	3,00	7,36	16,97	3,83	12,57	22,63	16,78		
Komsi+Oramo 1995	27,09	55,45	17,46			Komsi+Oramo 1995	14,48	4,94	7,67	16,79	3,60	13,62	21,45	17,46		
Whittlesey+Sallaberger 1997	25,39	54,61	20,00			Whittlesey+Sallaberger 1997	13,23	3,81	8,35	17,21	3,91	12,81	20,68	20,00		
Pammer+Kopatchinskaja 2004	29,17	56,44	14,39			Pammer+Kopatchinskaja 2004	15,64	5,22	8,31	18,16	3,98	13,40	20,90	14,39		
Arnold+Pogossian 2004	27,72	54,65	17,63			Arnold+Pogossian 2004	15,40	2,99	9,33	18,13	3,70	13,21	19,61	17,63		
Banse+Keller 2005	25,10	57,83	17,07			Banse+Keller 2005	13,95	2,91	8,23	17,67	3,98	15,25	20,93	17,07		
Arnold+Pogossian 2006	26,74	54,95	18,31			Arnold+Pogossian 2006	14,51	3,71	8,52	17,84	3,58	12,58	20,96	18,31		
Melzer+Stark 2012	26,90	54,04	19,06			Melzer+Stark 2012	14,94	3,29	8,67	17,78	3,82	13,26	19,20	19,06		
Melzer+Stark 2013	26,81	54,98	18,21			Melzer+Stark 2013	15,02	3,18	8,61	16,95	3,81	12,77	21,44	18,21		
Kammer+Widmann 2017	30,58	51,34	18,07			Kammer+Widmann 2017	16,26	3,58	10,74	16,23	3,47	11,46	20,18	18,07		
Melzer+Stark 2017	28,06	54,96	16,98			Melzer+Stark 2017	15,53	3,00	9,53	17,04	3,82	12,38	21,72	16,98		
Melzer+Stark 2019	30,88	53,25	15,87			Melzer+Stark 2019	16,63	4,46	9,79	16,51	3,62	13,13	19,98	15,87		
mean 14	27,71	54,88	17,42			mean 14	17,02	6,38	8,51	19,15	4,26	13,83	15,96	14,89		
score	31,91	53,19	14,89			score	15,30	3,80	8,61	17,24	3,78	13,09	20,77	17,42		
min 14	25,10	51,34	14,39			min 14	13,23	2,91	7,36	16,23	3,47	11,46	19,03	14,39		
max 14	30,88	57,83	20,00			max 14	16,85	5,70	10,74	18,16	4,02	15,25	22,63	20,00		
abs stdv 14	1,76	1,51	1,39			abs stdv 14	1,02	0,92	0,95	0,65	0,17	0,84	1,06	1,39		
perc sec 8	1	2	3			perc seg 8	1a	1b	1c	2a	2b	2c	2d	3		
Csengery+Keller 1990	29,53	54,24	16,23			Csengery+Keller 1990	15,99	5,70	7,83	17,74	4,02	13,44	19,03	16,23		
Komsi+Oramo 1995	27,09	55,45	17,46			Komsi+Oramo 1995	14,48	4,94	7,67	16,79	3,60	13,62	21,45	17,46		
Whittlesey+Sallaberger 1997	25,39	54,61	20,00			Whittlesey+Sallaberger 1997	13,23	3,81	8,35	17,21	3,91	12,81	20,68	20,00		
Pammer+Kopatchinskaja 2004	29,17	56,44	14,39			Pammer+Kopatchinskaja 2004	15,64	5,22	8,31	18,16	3,98	13,40	20,90	14,39		
Arnold+Pogossian 2004	27,72	54,65	17,63			Arnold+Pogossian 2004	15,40	2,99	9,33	18,13	3,70	13,21	19,61	17,63		
Banse+Keller 2005	25,10	57,83	17,07			Banse+Keller 2005	13,95	2,91	8,23	17,67	3,98	15,25	20,93	17,07		
Melzer+Stark 2012	26,90	54,04	19,06			Melzer+Stark 2012	14,94	3,29	8,67	17,78	3,82	13,26	19,20	19,06		
Kammer+Widmann 2017	30,58	51,34	18,07			Kammer+Widmann 2017	16,26	3,58	10,74	16,23	3,47	11,46	20,18	18,07		
mean 8	27,69	54,83	17,49			mean 8	14,99	4,06	8,64	17,46	3,81	13,30	20,25	17,49		
score	31,91	53,19	14,89			score	15,30	3,80	8,61	17,24	3,78	13,09	20,77	17,42		
min 8	25,10	51,34	14,39			min 8	13,23	2,91	7,67	16,23	3,47	11,46	19,03	14,39		
max 8	30,58	57,83	20,00			max 8	16,26	5,70	10,74	18,16	4,02	15,25	21,45	20,00		
abs stdv 8 	1,96	1,90	1,71			abs stdv 8	1,05	1,08	0,99	0,68	0,20	1,04	0,89	1,71		
